SEQN,K2_cluster,K3_cluster,K4_cluster,K5_cluster,K6_cluster,K7_cluster
96205.0,0,0,3,3,3,0
96219.0,1,2,2,2,2,1
96222.0,1,1,0,1,5,4
96224.0,1,1,0,1,5,4
96226.0,0,0,3,4,1,3
96237.0,1,1,0,1,5,4
96240.0,0,0,1,3,4,2
96249.0,0,2,1,2,0,6
96250.0,0,0,1,3,3,0
96253.0,1,2,2,2,2,1
96257.0,1,2,2,0,4,2
96270.0,0,0,3,4,1,3
96276.0,0,2,1,2,0,6
96279.0,1,2,1,2,0,6
96283.0,0,0,1,3,3,0
96297.0,1,1,0,0,4,5
96308.0,0,0,1,3,3,0
96322.0,1,1,0,1,5,4
96325.0,1,1,2,0,4,5
96329.0,1,1,0,1,5,4
96348.0,0,0,3,4,1,3
96368.0,1,2,2,2,2,1
96377.0,1,1,0,1,5,4
96392.0,1,2,2,0,4,2
96403.0,0,0,3,4,1,3
96415.0,0,0,3,4,1,3
96417.0,1,1,0,1,5,5
96432.0,1,1,0,1,4,2
96433.0,1,2,2,2,2,1
96443.0,1,1,0,1,5,4
96450.0,1,2,2,2,2,2
96452.0,0,0,3,4,1,3
96479.0,0,0,3,4,1,3
96489.0,1,2,2,0,4,2
96501.0,0,2,1,2,0,6
96519.0,1,1,0,1,5,4
96523.0,1,2,2,2,2,1
96548.0,1,1,0,1,4,5
96552.0,0,0,3,4,1,3
96553.0,0,0,3,3,3,0
96558.0,0,0,1,3,3,0
96566.0,0,0,3,4,1,3
96574.0,1,1,0,1,5,4
96576.0,0,0,1,3,3,0
96582.0,0,0,3,4,1,3
96590.0,1,2,2,2,2,1
96593.0,0,0,3,4,1,5
96600.0,1,2,2,2,2,1
96609.0,1,1,2,0,4,5
96624.0,0,0,3,3,3,0
96628.0,0,0,3,4,1,0
96630.0,0,2,1,3,3,0
96634.0,0,0,3,4,1,3
96638.0,0,0,1,3,3,0
96651.0,1,2,2,2,2,1
96659.0,1,1,0,1,5,4
96663.0,1,1,0,1,5,4
96672.0,0,0,3,4,1,3
96681.0,1,2,2,2,4,2
96705.0,0,0,3,4,1,3
96708.0,1,1,0,1,5,4
96725.0,1,1,0,0,4,5
96748.0,1,2,2,2,2,1
96750.0,1,2,2,0,4,2
96756.0,1,2,2,2,2,5
96766.0,1,2,2,2,2,1
96793.0,0,0,1,3,3,0
96810.0,1,1,2,0,2,5
96826.0,0,0,3,4,1,3
96844.0,0,0,1,3,3,0
96848.0,1,2,2,2,2,1
96852.0,0,0,1,3,3,0
96860.0,1,1,2,0,4,5
96865.0,1,1,0,1,5,4
96885.0,0,0,3,4,1,3
96890.0,0,0,3,4,1,3
96898.0,0,0,3,4,1,3
96899.0,0,0,3,4,1,3
96901.0,1,1,0,1,5,5
96907.0,1,2,2,2,2,1
96922.0,0,0,3,4,1,0
96925.0,0,0,1,3,3,0
96926.0,0,0,3,4,1,3
96939.0,1,1,0,0,4,5
96951.0,0,2,1,3,3,0
96954.0,0,2,1,2,0,6
96970.0,1,1,0,1,5,5
96992.0,0,0,3,4,1,3
97000.0,0,0,1,3,3,0
97003.0,0,0,3,4,1,3
97011.0,1,1,0,1,5,4
97032.0,0,0,3,4,1,0
97041.0,1,1,2,0,4,5
97042.0,0,1,0,4,5,4
97044.0,1,1,0,1,5,4
97048.0,1,2,2,0,4,5
97060.0,0,0,3,4,1,3
97064.0,0,0,3,4,1,3
97065.0,0,0,1,3,3,0
97067.0,0,0,3,3,4,2
97077.0,1,2,2,2,2,1
97093.0,1,2,2,2,2,1
97094.0,1,1,0,1,5,4
97095.0,1,2,2,0,4,2
97108.0,0,0,3,3,3,0
97131.0,1,2,2,0,4,2
97137.0,1,1,0,1,4,2
97138.0,1,1,0,1,5,4
97147.0,1,1,0,1,5,4
97153.0,0,0,1,3,3,0
97166.0,1,1,0,1,4,2
97174.0,1,1,0,0,4,5
97177.0,0,0,1,3,3,0
97186.0,0,0,1,3,3,0
97223.0,0,0,3,4,1,3
97228.0,1,2,2,2,2,5
97231.0,1,2,1,2,2,1
97234.0,1,2,2,0,4,2
97236.0,0,0,3,4,1,3
97247.0,0,0,3,4,1,3
97260.0,1,2,2,0,4,2
97266.0,0,0,3,4,1,3
97270.0,1,1,0,0,4,2
97275.0,1,1,0,1,5,4
97280.0,0,0,1,3,3,0
97293.0,1,1,0,0,4,2
97299.0,0,0,1,3,3,0
97304.0,1,2,2,2,2,1
97338.0,1,2,2,2,2,1
97349.0,1,1,2,0,4,2
97379.0,0,0,3,4,1,3
97383.0,0,0,3,4,1,3
97410.0,1,1,0,1,5,4
97415.0,0,0,3,4,1,3
97418.0,1,2,2,0,4,2
97436.0,0,0,3,4,1,3
97446.0,0,0,3,4,1,3
97452.0,1,1,2,0,4,5
97456.0,0,0,3,4,1,3
97465.0,0,0,3,4,1,3
97468.0,0,0,3,4,1,3
97485.0,0,1,0,4,5,4
97487.0,1,1,0,0,4,2
97492.0,0,0,3,4,1,3
97497.0,0,0,3,4,1,3
97501.0,1,2,2,0,4,2
97533.0,0,0,3,4,1,3
97550.0,0,1,0,4,5,4
97560.0,0,0,3,4,1,3
97572.0,0,0,3,4,1,3
97577.0,0,0,3,3,3,0
97578.0,1,1,0,1,5,4
97580.0,0,0,3,4,1,3
97585.0,0,0,3,4,1,3
97595.0,0,0,3,3,1,3
97598.0,1,2,2,2,4,5
97620.0,1,2,1,2,0,6
97624.0,1,1,0,1,5,4
97638.0,0,0,3,4,1,3
97640.0,0,2,1,2,2,0
97643.0,1,2,2,2,2,1
97648.0,1,2,2,2,2,1
97659.0,0,0,3,3,3,0
97685.0,0,0,1,3,3,0
97688.0,0,2,1,2,0,6
97691.0,1,2,2,2,2,1
97692.0,0,0,3,4,1,3
97695.0,0,0,3,4,1,3
97699.0,1,1,0,0,4,2
97703.0,0,0,3,3,3,0
97704.0,1,2,2,2,2,1
97706.0,0,2,1,2,0,6
97735.0,0,0,3,4,1,0
97737.0,0,0,3,4,1,3
97741.0,1,1,0,0,4,5
97747.0,0,0,3,4,1,3
97768.0,1,2,2,0,4,5
97774.0,0,1,0,4,5,4
97782.0,1,1,0,1,5,5
97783.0,1,2,2,2,2,1
97787.0,1,1,0,1,5,5
97794.0,1,1,0,1,5,5
97827.0,0,2,2,3,4,2
97851.0,0,0,3,4,1,3
97876.0,1,2,2,2,2,5
97878.0,1,1,0,1,0,2
97896.0,1,2,2,0,4,2
97897.0,0,2,2,2,2,1
97928.0,0,0,3,4,1,3
97934.0,0,0,3,4,1,3
97940.0,0,0,3,3,1,3
97951.0,0,1,0,4,5,4
97952.0,0,0,3,3,4,0
97963.0,0,0,3,4,1,3
97974.0,1,1,0,1,5,4
97986.0,1,2,2,2,2,1
98018.0,0,0,3,4,1,3
98030.0,1,1,0,1,5,5
98033.0,1,1,0,4,5,5
98035.0,1,1,2,0,2,5
98046.0,1,2,2,2,2,1
98056.0,1,2,2,0,4,2
98082.0,0,2,1,2,0,6
98088.0,0,0,3,4,1,3
98092.0,0,2,1,3,3,0
98099.0,0,0,3,4,1,3
98100.0,0,2,1,3,3,0
98102.0,1,2,2,0,4,2
98103.0,0,0,3,4,1,3
98113.0,1,2,2,2,2,1
98135.0,1,2,2,2,2,1
98138.0,0,0,1,3,3,0
98144.0,1,1,2,0,4,2
98148.0,0,0,3,4,1,3
98156.0,1,2,2,3,4,2
98161.0,1,2,2,0,4,2
98168.0,1,1,2,0,4,2
98208.0,1,1,0,1,4,2
98225.0,0,0,1,3,3,0
98238.0,1,2,2,0,4,2
98241.0,0,0,3,4,1,3
98243.0,0,0,1,3,3,0
98256.0,1,1,0,1,4,2
98262.0,0,0,3,4,1,5
98271.0,0,2,1,3,3,0
98280.0,1,2,2,0,4,2
98293.0,0,2,2,2,2,0
98300.0,1,2,2,2,4,1
98314.0,0,0,3,4,1,0
98343.0,1,1,0,1,4,2
98350.0,1,2,1,2,0,6
98354.0,1,2,2,2,2,1
98374.0,1,2,2,2,2,5
98381.0,0,0,1,3,3,0
98416.0,1,1,0,1,5,4
98420.0,1,1,0,1,5,4
98426.0,0,0,3,4,1,3
98437.0,1,1,0,1,5,5
98444.0,1,2,2,2,2,1
98474.0,0,0,3,4,1,3
98475.0,0,0,3,4,1,3
98483.0,1,1,0,1,5,4
98485.0,0,0,3,4,1,3
98494.0,1,1,0,1,5,4
98495.0,0,0,3,4,1,3
98500.0,1,1,0,1,4,2
98512.0,1,2,1,2,0,6
98542.0,1,1,0,1,4,2
98545.0,1,1,0,1,5,5
98548.0,0,0,3,3,3,0
98551.0,1,1,0,0,4,2
98561.0,0,0,1,3,3,0
98565.0,1,1,0,1,5,4
98611.0,1,2,2,0,4,2
98661.0,1,1,0,1,5,4
98673.0,1,1,2,0,4,2
98677.0,0,0,1,3,3,0
98680.0,1,2,2,2,2,1
98689.0,0,2,1,2,2,6
98728.0,0,0,1,2,3,0
98733.0,1,2,2,0,4,2
98747.0,0,1,0,4,5,4
98748.0,1,1,0,1,5,5
98751.0,0,0,3,4,5,4
98762.0,0,0,1,3,3,0
98772.0,1,1,2,0,4,5
98775.0,0,0,3,4,1,3
98778.0,0,1,0,4,5,4
98780.0,0,0,1,3,3,0
98781.0,1,2,2,0,4,2
98791.0,0,0,3,4,1,3
98793.0,1,1,0,1,5,4
98804.0,1,2,2,0,4,2
98828.0,1,2,2,2,2,1
98832.0,0,0,3,4,1,3
98843.0,1,1,0,1,5,4
98846.0,1,2,2,0,4,2
98865.0,0,0,3,4,1,3
98877.0,0,0,3,4,1,3
98892.0,0,0,3,3,3,0
98902.0,1,1,0,1,5,4
98904.0,1,1,0,1,5,4
98910.0,0,0,3,4,1,3
98921.0,0,2,1,3,3,0
98932.0,0,0,1,3,3,0
98933.0,1,1,0,1,5,4
98944.0,0,0,1,3,3,0
98948.0,0,0,1,3,3,0
98951.0,1,2,2,2,2,1
98981.0,1,1,0,1,5,4
98988.0,0,2,1,2,0,6
98994.0,0,0,3,4,1,0
99001.0,0,0,3,3,3,0
99005.0,1,2,2,2,2,1
99023.0,0,0,3,4,1,3
99028.0,1,2,2,2,2,5
99067.0,0,0,3,4,1,3
99089.0,1,1,0,1,5,4
99099.0,1,2,2,2,2,1
99108.0,0,0,3,3,4,2
99110.0,1,1,0,1,5,4
99114.0,0,0,3,4,1,3
99121.0,1,2,2,2,2,1
99136.0,1,1,2,0,4,5
99138.0,0,0,3,4,1,3
99153.0,1,1,0,1,4,2
99154.0,0,0,1,3,3,0
99160.0,1,1,2,0,4,5
99167.0,1,1,2,0,4,2
99171.0,0,0,3,3,3,0
99197.0,1,1,0,1,5,4
99224.0,1,2,2,2,2,1
99237.0,1,1,0,0,4,2
99246.0,1,2,2,2,2,5
99247.0,0,0,3,4,1,3
99251.0,0,0,3,3,3,0
99260.0,1,2,2,2,2,1
99279.0,1,2,2,2,2,5
99291.0,0,2,1,2,0,6
99305.0,0,2,1,2,0,6
99315.0,0,1,3,4,1,3
99316.0,0,0,3,4,1,3
99318.0,1,1,0,1,5,4
99320.0,1,1,0,1,5,4
99321.0,0,0,3,4,1,3
99322.0,1,2,2,0,4,2
99335.0,0,0,3,4,1,3
99338.0,1,1,0,0,4,5
99345.0,0,0,3,3,3,0
99346.0,0,0,3,4,1,3
99364.0,0,0,3,4,1,3
