SEQN,K2_cluster,K3_cluster,K4_cluster,K5_cluster,K6_cluster,K7_cluster,K8_cluster,K9_cluster,K10_cluster
95519.0,0,1,0,2,2,5,0,0,3
95525.0,1,2,1,4,0,1,6,0,3
95531.0,0,1,2,2,2,5,0,0,3
95571.0,0,2,2,3,0,1,6,8,6
95591.0,1,2,1,4,1,0,1,1,7
95594.0,1,2,3,1,3,0,7,6,0
95602.0,0,1,0,2,2,5,0,0,9
95611.0,1,0,1,1,3,4,5,5,5
95622.0,1,2,1,4,1,4,5,5,7
95625.0,1,0,3,1,3,4,5,5,3
95652.0,1,2,1,4,1,0,1,8,4
95664.0,0,0,3,2,2,5,4,7,9
95665.0,0,0,3,2,2,5,4,7,9
95685.0,0,1,0,2,4,3,0,2,8
95690.0,0,1,0,2,2,5,0,7,9
95719.0,1,0,3,1,3,6,7,6,5
95720.0,1,2,1,4,1,4,5,1,7
95744.0,1,2,1,4,0,1,6,8,4
95748.0,0,0,3,2,0,1,6,0,6
95756.0,1,0,1,1,3,4,5,5,5
95761.0,1,0,3,1,3,6,7,6,0
95762.0,0,0,0,2,2,5,4,7,9
95765.0,0,0,0,2,2,5,0,7,9
95768.0,1,0,3,1,3,6,7,6,3
95775.0,1,2,2,4,0,1,6,8,4
95785.0,1,2,1,4,0,1,6,0,6
95792.0,0,0,3,2,2,6,4,7,5
95799.0,1,2,1,4,1,4,5,5,7
95803.0,0,1,0,2,2,5,0,2,9
95809.0,0,1,0,0,5,2,2,4,1
95849.0,1,2,1,4,1,4,1,1,7
95851.0,0,0,3,2,3,6,4,7,9
95870.0,0,1,2,3,4,3,3,3,2
95900.0,1,0,3,1,3,6,7,6,0
95903.0,1,0,3,1,3,6,7,6,0
95904.0,1,2,1,4,1,4,5,1,3
95915.0,0,1,0,2,2,5,0,2,9
95922.0,1,0,3,1,3,6,7,6,0
95950.0,1,0,3,1,3,6,7,6,0
95955.0,0,2,2,3,4,3,3,3,2
95968.0,1,2,1,4,1,4,5,1,7
95977.0,1,2,1,4,0,4,5,5,3
95990.0,1,2,1,4,1,4,5,1,7
95991.0,0,0,0,2,2,5,0,7,9
96008.0,0,0,3,1,3,6,7,6,0
96031.0,1,2,1,4,1,0,1,1,7
96035.0,1,2,1,4,1,4,5,1,7
96048.0,0,1,0,2,2,5,0,0,9
96050.0,1,2,1,4,0,1,6,8,4
96064.0,1,0,3,1,3,6,7,6,0
96074.0,0,1,2,3,4,3,3,3,8
96093.0,1,0,3,3,0,1,4,7,5
96097.0,0,1,0,2,2,5,0,2,3
96103.0,0,1,2,3,4,3,3,3,2
96116.0,1,2,1,4,1,4,5,8,3
96124.0,0,2,2,3,0,1,6,0,6
96133.0,0,1,0,2,2,5,0,2,8
96140.0,0,0,3,2,2,6,7,6,0
96150.0,1,0,1,4,1,4,5,5,3
96160.0,1,0,3,1,3,6,4,7,5
96186.0,0,1,0,2,4,3,0,2,8
96196.0,0,1,2,3,4,3,3,3,2
96198.0,1,2,1,4,1,4,1,1,7
96205.0,0,1,0,2,2,5,0,0,9
96219.0,0,1,2,3,4,3,3,3,2
