SEQN,K2_cluster,K3_cluster,K4_cluster,K5_cluster,K6_cluster,K7_cluster,K8_cluster,K9_cluster,K10_cluster
95591.0,1,0,0,2,2,5,0,7,0
95594.0,1,0,3,1,5,2,4,5,8
95602.0,0,1,2,3,1,6,1,4,2
95611.0,1,2,0,4,2,1,3,3,4
95622.0,1,0,0,2,2,5,3,3,4
95625.0,1,2,1,4,4,1,3,3,4
95652.0,1,0,0,2,2,5,0,7,0
95664.0,0,2,1,3,1,2,1,4,2
95665.0,1,2,1,3,1,6,1,4,2
95685.0,0,1,2,3,3,4,2,8,5
95690.0,0,2,2,3,1,2,1,0,8
95719.0,1,2,1,4,4,1,7,5,1
95720.0,1,0,0,2,2,5,3,7,0
95744.0,1,0,0,2,5,3,6,2,3
95748.0,1,2,1,4,4,2,6,2,3
95756.0,1,2,0,4,4,1,7,3,4
95761.0,1,2,1,4,4,2,4,5,8
95762.0,0,2,1,3,1,1,7,4,2
95765.0,0,2,2,3,1,6,1,4,7
95768.0,1,2,1,4,4,2,4,5,7
95775.0,1,0,0,2,5,3,6,2,3
95785.0,1,0,0,2,5,3,6,2,3
95792.0,1,2,1,4,4,1,7,5,1
95799.0,1,0,0,2,2,1,3,3,4
95803.0,0,1,2,3,1,2,4,0,8
95809.0,0,1,2,1,5,3,6,2,7
95849.0,1,0,0,2,2,5,3,7,4
95851.0,1,2,1,4,4,2,7,5,1
95870.0,0,1,3,1,5,4,2,1,6
95900.0,1,2,1,4,4,2,4,5,8
95903.0,1,2,1,4,4,1,7,5,1
95904.0,1,0,0,2,2,3,3,3,4
95915.0,0,1,2,3,1,6,1,0,2
95922.0,1,2,1,4,4,2,4,5,8
95950.0,1,2,1,4,4,1,7,5,1
95955.0,0,0,3,1,3,4,2,1,6
95968.0,1,0,0,2,2,5,3,3,4
95977.0,1,0,0,2,2,3,3,2,3
95990.0,1,0,0,2,2,5,3,3,4
95991.0,0,2,1,3,1,2,4,0,8
96008.0,0,2,1,3,1,2,4,0,8
96031.0,1,0,0,2,2,5,0,7,0
96035.0,1,0,0,2,2,5,3,3,4
96048.0,0,2,2,3,1,2,4,0,8
96050.0,1,0,0,2,5,3,6,2,3
96064.0,1,2,1,4,4,2,4,5,1
96074.0,0,1,3,1,3,4,2,1,6
96093.0,1,2,1,1,5,1,6,4,2
96097.0,0,1,3,3,5,3,4,0,7
96103.0,0,1,3,1,3,4,2,1,6
96116.0,1,0,0,2,5,3,6,2,7
